"cnty_fips","display_name","Value","theme_range","ob_prev_adj","dm_prev_adj","pl_csmoking","no_college","no_broadbd","income","povpct"
1001,"""Autauga, (AL)""",143.8,"101.9 - 501.3 (639)",32.7,11.4,19.4,73.4,19.4,58000,12.1
1003,"""Baldwin, (AL)""",37.2,"0.0 - 40.5 (648)",30.1,8.2,17.5,68.1,18.2,60000,10.1
1005,"""Barbour, (AL)""",42,"40.6 - 54.6 (639)",41.2,15.1,24.5,88.4,39.5,36000,27.1
1007,"""Bibb, (AL)""",53,"40.6 - 54.6 (639)",37.4,12.2,22.7,89.6,30.8,48000,20.3
1009,"""Blount, (AL)""",32.5,"0.0 - 40.5 (648)",32.5,12.2,22.1,86.9,27,53000,16.3
1011,"""Bullock, (AL)""",40.2,"0.0 - 40.5 (648)",46.4,27.9,24.4,87.9,39.9,32000,30
1013,"""Butler, (AL)""",52.6,"40.6 - 54.6 (639)",47.3,17,21.4,83.9,35.4,40000,21.6
1015,"""Calhoun, (AL)""",97.3,"70.7 - 101.8 (644)",39.7,15.2,20.4,81.5,24.9,48000,17.2
1017,"""Chambers, (AL)""",23,"0.0 - 40.5 (648)",42,15.6,22,86.7,30.6,42000,19.6
1019,"""Cherokee, (AL)""",54.6,"40.6 - 54.6 (639)",38.1,12,21.8,87.2,29.3,46000,15.9
1021,"""Chilton, (AL)""",58,"54.7 - 70.6 (645)",42.1,16.8,22.8,87.3,31.3,50000,16
1023,"""Choctaw, (AL)""",253.6,"101.9 - 501.3 (639)",46.7,13.9,21.4,88.1,38.7,40000,22.6
1025,"""Clarke, (AL)""",152.2,"101.9 - 501.3 (639)",36.1,22.5,22.8,87.8,42.5,44000,18.4
1027,"""Clay, (AL)""",142.1,"101.9 - 501.3 (639)",37.1,14.2,23.6,89.4,29.9,41000,16.6
1029,"""Cleburne, (AL)""",51.8,"40.6 - 54.6 (639)",34,12.1,22.9,84.6,35.7,51000,13.3
1031,"""Coffee, (AL)""",39.6,"0.0 - 40.5 (648)",36.6,13.9,20.7,77.2,20,57000,15
1033,"""Colbert, (AL)""",25.3,"0.0 - 40.5 (648)",36.5,14,20.8,81.9,29.9,47000,14.6
1035,"""Conecuh, (AL)""",59.9,"54.7 - 70.6 (645)",42.5,20.9,23.8,87.2,47.3,42000,22.2
1037,"""Coosa, (AL)""",53.9,"40.6 - 54.6 (639)",44.6,23.1,22.9,87.2,30.5,42000,17.1
1039,"""Covington, (AL)""",76.6,"70.7 - 101.8 (644)",35.9,13.5,21.9,84.7,29.3,45000,17.2
1041,"""Crenshaw, (AL)""",46.4,"40.6 - 54.6 (639)",35.1,18.2,22,82.6,34.9,43000,16.8
1043,"""Cullman, (AL)""",60.5,"54.7 - 70.6 (645)",35.6,13.3,21.7,86.1,25.9,51000,12.2
1045,"""Dale, (AL)""",33.4,"0.0 - 40.5 (648)",41.8,14.2,20.8,81.9,23,45000,18.1
1047,"""Dallas, (AL)""",178.9,"101.9 - 501.3 (639)",42.8,14.8,23.7,85.3,30.3,34000,26
1049,"""DeKalb, (AL)""",42,"40.6 - 54.6 (639)",30.3,14.3,24.3,87,28,44000,18.2
1051,"""Elmore, (AL)""",45.7,"40.6 - 54.6 (639)",34.9,13.9,19.1,74.9,18.5,62000,11.4
1053,"""Escambia, (AL)""",58.6,"54.7 - 70.6 (645)",36.4,17,24.6,87.5,39,43000,20.5
1055,"""Etowah, (AL)""",48.4,"40.6 - 54.6 (639)",35.9,14.8,22.1,82.2,23.5,43000,18.8
1057,"""Fayette, (AL)""",85.5,"70.7 - 101.8 (644)",37.8,17.9,22.7,87.6,29.7,44000,17
1059,"""Franklin, (AL)""",39,"0.0 - 40.5 (648)",36.6,12.8,22,86,38.1,45000,16.1
1061,"""Geneva, (AL)""",95.9,"70.7 - 101.8 (644)",41.5,17.1,23.8,87.5,32.9,43000,16.1
1063,"""Greene, (AL)""",22.9,"0.0 - 40.5 (648)",38,18,24.7,89.9,48.7,29000,31.7
1065,"""Hale, (AL)""",59.5,"54.7 - 70.6 (645)",45.5,15.2,22.6,85.8,38.5,41000,20.5
1067,"""Henry, (AL)""",68.3,"54.7 - 70.6 (645)",34.7,13.1,21.5,82.9,24.9,49000,17.2
1069,"""Houston, (AL)""",34,"0.0 - 40.5 (648)",38.5,14.4,21.6,78.3,25.1,50000,19.4
1071,"""Jackson, (AL)""",127.3,"101.9 - 501.3 (639)",35.3,13.3,22.6,86,29.1,44000,14.7
1073,"""Jefferson, (AL)""",36.1,"0.0 - 40.5 (648)",34.4,11.5,18,66.6,20.6,54000,16.2
1075,"""Lamar, (AL)""",88.8,"70.7 - 101.8 (644)",34.5,19.3,22.6,88.1,37.1,43000,15.3
1077,"""Lauderdale, (AL)""",48.3,"40.6 - 54.6 (639)",32.5,12.7,18.4,76.5,27.7,48000,15.7
1079,"""Lawrence, (AL)""",48.6,"40.6 - 54.6 (639)",32.5,20.5,23.2,87.4,38,48000,17.7
1081,"""Lee, (AL)""",17.7,"0.0 - 40.5 (648)",30.8,10.6,18.5,64.7,18,54000,15.5
1083,"""Limestone, (AL)""",27.2,"0.0 - 40.5 (648)",32.6,11.2,20.2,74.3,19.9,65000,12
1085,"""Lowndes, (AL)""",65.7,"54.7 - 70.6 (645)",43.4,14.2,25,85.3,47.4,34000,26.6
1087,"""Macon, (AL)""",36.4,"0.0 - 40.5 (648)",51,14.5,20.1,79.6,39.8,34000,29.3
1089,"""Madison, (AL)""",30.7,"0.0 - 40.5 (648)",33.5,11.9,16.7,57.2,13.6,69000,11.5
1091,"""Marengo, (AL)""",86.6,"70.7 - 101.8 (644)",45.2,15.5,21.7,83.9,40.3,39000,24.8
1093,"""Marion, (AL)""",174,"101.9 - 501.3 (639)",38.7,16.8,22.6,87.2,34.4,45000,16.9
1095,"""Marshall, (AL)""",53.6,"40.6 - 54.6 (639)",36.8,10,22.2,80.6,20.5,49000,15.7
1097,"""Mobile, (AL)""",42.7,"40.6 - 54.6 (639)",38,13.3,20.2,76.8,25.4,49000,17.7
1099,"""Monroe, (AL)""",38.7,"0.0 - 40.5 (648)",43,19.9,23.8,86.5,60.2,40000,23.3
1101,"""Montgomery, (AL)""",38.9,"0.0 - 40.5 (648)",37.1,15.2,19.4,66.6,20.5,53000,15.8
1103,"""Morgan, (AL)""",114.4,"101.9 - 501.3 (639)",35.2,10.4,20.1,77.6,24.9,54000,13.7
1105,"""Perry, (AL)""",90.5,"70.7 - 101.8 (644)",47,18,24.6,77.2,46.1,30000,33.9
1107,"""Pickens, (AL)""",38.9,"0.0 - 40.5 (648)",38.8,16.8,22.6,85.9,33.9,40000,24.3
1109,"""Pike, (AL)""",39.2,"0.0 - 40.5 (648)",38.6,14.2,19.4,76.3,33.7,41000,21.8
1111,"""Randolph, (AL)""",208.6,"101.9 - 501.3 (639)",33.5,15,21.6,83.5,30.2,43000,17.5
1113,"""Russell, (AL)""",40.3,"0.0 - 40.5 (648)",38.6,15.5,22.2,82.2,28.7,44000,18.9
1115,"""St. Clair, (AL)""",30,"0.0 - 40.5 (648)",36.6,12.8,21.1,83.9,21.8,65000,11.2
1117,"""Shelby, (AL)""",25,"0.0 - 40.5 (648)",37.5,9.4,14.7,57.1,11.7,78000,6.2
1119,"""Sumter, (AL)""",113.3,"101.9 - 501.3 (639)",43,16.2,20.5,78.4,36.9,29000,36.4
1121,"""Talladega, (AL)""",48.9,"40.6 - 54.6 (639)",38.8,14.6,23.1,85,26.5,48000,17.4
1123,"""Tallapoosa, (AL)""",46.8,"40.6 - 54.6 (639)",34.2,11.3,22.3,81.6,25.1,47000,16
1125,"""Tuscaloosa, (AL)""",22.1,"0.0 - 40.5 (648)",36.1,12.1,19.1,69.3,19.6,52000,16.2
1127,"""Walker, (AL)""",85.7,"70.7 - 101.8 (644)",39.8,13,23.5,88.7,28,46000,17.3
1129,"""Washington, (AL)""",128.3,"101.9 - 501.3 (639)",31.7,9.9,22.9,87.3,38.2,49000,18.6
1131,"""Wilcox, (AL)""",67.3,"54.7 - 70.6 (645)",50.3,15.9,24.1,87.5,46.3,31000,32.5
1133,"""Winston, (AL)""",100.5,"70.7 - 101.8 (644)",35.7,20,23.3,87.2,34.2,41000,16.7
2013,"""Aleutians East, (AK)""",0,"0.0 - 40.5 (648)",50.9,14.9,21.8,88.5,37.6,67000,14.8
2016,"""Aleutians West, (AK)""",0,"0.0 - 40.5 (648)",41.5,8.2,20.4,83,22.8,85000,7.6
2020,"""Anchorage, (AK)""",28.4,"0.0 - 40.5 (648)",30.1,8.6,17.3,63.9,10,83000,9.5
2050,"""Bethel, (AK)""",27.6,"0.0 - 40.5 (648)",33.9,7.2,35.8,88.1,26.7,48000,23.5
2060,"""Bristol Bay, (AK)""",-1,"",41.8,16.1,21.9,77.5,21.7,88000,9.8
2068,"""Denali, (AK)""",25.6,"0.0 - 40.5 (648)",23,7.7,19.4,58.9,10.1,78000,6.6
2070,"""Dillingham, (AK)""",29.3,"0.0 - 40.5 (648)",30.5,8.4,30.7,77.9,24.1,57000,18.1
2090,"""Fairbanks North Star, (AK)""",24.3,"0.0 - 40.5 (648)",31.1,7.9,17.5,68.6,14.2,74000,7.2
2100,"""Haines, (AK)""",-1,"",28.2,5.2,16.9,66.2,16.2,63000,9.8
2105,"""Hoonah-Angoon, (AK)""",-1,"",29.8,11.7,22.3,78.7,35.9,53000,15.7
2110,"""Juneau, (AK)""",17.5,"0.0 - 40.5 (648)",26.1,5.6,16.1,61.6,9.3,85000,6.3
2122,"""Kenai Peninsula, (AK)""",28.6,"0.0 - 40.5 (648)",32.9,8.1,20.8,75.4,20.5,69000,10.4
2130,"""Ketchikan Gateway, (AK)""",51.2,"40.6 - 54.6 (639)",38.4,9.5,20.1,74.7,15.2,76000,9.4
2150,"""Kodiak Island, (AK)""",31.8,"0.0 - 40.5 (648)",28.1,6.8,19.3,72,16.2,80000,7.1
2158,"""Kusilvak, (AK)""",17.1,"0.0 - 40.5 (648)",23,5.4,45.7,96.1,34.7,35000,26.8
2164,"""Lake and Peninsula, (AK)""",30.1,"0.0 - 40.5 (648)",37.1,11.6,30,83.9,34.7,52000,17.4
2170,"""Matanuska-Susitna, (AK)""",28,"0.0 - 40.5 (648)",34.3,8.6,20.5,78.4,13.4,76000,9.6
2180,"""Nome, (AK)""",80.3,"70.7 - 101.8 (644)",40.2,7.2,34.8,83.9,25.9,58000,20.7
2185,"""North Slope, (AK)""",6.5,"0.0 - 40.5 (648)",43.4,5.8,26.8,83.5,30.2,85000,11.4
2188,"""Northwest Arctic, (AK)""",54.4,"40.6 - 54.6 (639)",44.9,15.7,34.9,86.8,23.3,62000,24
2195,"""Petersburg, (AK)""",26.9,"0.0 - 40.5 (648)",25.1,7.1,19.2,71.6,17.9,71000,6.7
2198,"""Prince of Wales-Hyder, (AK)""",53.2,"40.6 - 54.6 (639)",39.6,10.1,26.3,81.7,34.2,50000,17.6
2220,"""Sitka, (AK)""",18.9,"0.0 - 40.5 (648)",25.5,5.8,17.4,66.6,15.8,81000,8.1
2230,"""Skagway, (AK)""",-1,"",25.8,4.4,17.5,70.4,15.7,75000,4
